SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
FR40275,Large White Vinegar,1,1.99,0,0,0,0,3,6/19/2018,6/19/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.26E+11
FR40276,Large Cider Vinegar,1,1.99,0,0,0,0,4,6/21/2018,6/21/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.26E+11
FR40302,"Beer Mugs, White, 4pc",1.6,3.19,0,0,0,0,0,1/15/2019,11/4/2015,1/15/2019,0,FOOD,,,
FR40307,.Mustard Only,1,1.99,0,0,0,0,17,12/31/2018,12/31/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,
FR40435,Chocolate Bar,1,1.99,0,0,0,0,1,4/30/2019,4/30/2019,11/6/2014,0,FOOD,CANDY,NONE,7.17E+11
FR41837,"Black Pepper, 2",1.25,2.49,0,0,0,0,6,12/5/2018,12/5/2018,2/5/2011,-0.5,FOOD,CONDIMENTS,NONE,7.26E+11
FR54036,.Salsa,1,1.99,0,0,0,0,1,12/26/2018,11/27/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,
FR54042,".Select Baking Potatoes, Bag",1.75,3.49,0,0,0,0,1,12/26/2018,5/19/2015,2/13/2014,0,FOOD,VEGETABLES,NONE,
FR54047,"Bread, Peanut Butter, Jelly",4.5,8.99,0,0,0,0,1,8/14/2018,8/14/2018,2/13/2014,0,FOOD,SANDWICHES,NONE,7.26E+11
FR54112,"Egg Cartons, 2",1.75,3.49,0,0,0,0,3,1/4/2018,1/4/2018,2/13/2014,-1,FOOD,BREAKFAST,NONE,7.17E+11
FR54116,"White Bread, Squooshy!, 2",2.75,5.49,0,0,0,0,2,6/12/2018,6/12/2018,2/13/2014,0,FOOD,MISC,NONE,7.17E+11
FR54192,Egg Carton Filled with  Eggs,3.25,6.49,0,0,0,0,0,11/23/2016,7/8/2016,2/5/2011,1.5,FOOD,BREAKFAST,NONE,7.17E+11
FR54224,Town Square Potato Chips,1.25,2.49,0,0,0,0,3,6/29/2018,6/29/2018,7/13/2012,-0.25,FOOD,APPETIZERS,NONE,
FR55039,"Dairy Set, Milk, Butter, Egg",3.25,6.49,0,0,0,0,6,3/18/2019,3/18/2019,2/13/2014,0,FOOD,BREAKFAST,NONE,7.17E+11
FR55056,".Campfire Marshmallows, Bag",1.5,2.99,0,0,0,0,2,1/15/2019,1/15/2019,12/6/2011,0,FOOD,DESSERT,NONE,7.17E+11
FR60016,"Salad Dressing Set, 3",3.5,6.99,0,0,0,0,0,11/23/2016,11/15/2016,2/13/2014,0,FOOD,SALAD,NONE,7.17E+11
FR80164,"Cook'S Brand Kits, 10/Pk",3.75,7.49,0,0,0,0,0,4/12/2018,4/12/2018,4/12/2012,0,FOOD,GENERAL STORE,NONE,7.26E+11
FR80462,"Welcome Mat, Black",1.05,2.09,0,0,0,0,2,4/1/2019,4/1/2019,1/15/2019,0,FOOD,,,
HR43001,"Cola, 2 Liter",1.75,3.5,0,0,0,0,13,3/25/2019,3/25/2019,3/17/2015,-1.75,FOOD,,,
HR43006,"Diet Cola, 2 Liter",1.75,3.5,0,0,0,0,12,12/17/2018,12/5/2018,5/17/2017,-0.25,FOOD,,,
HR43007,"Mountain Dew, 2 Liter",1.75,3.5,0,0,0,0,0,3/26/2019,3/26/2019,3/17/2015,-1.75,FOOD,,,
HR51019,Baby Cereal,1,2,0,0,0,0,8,12/5/2018,12/5/2018,11/2/2010,0,FOOD,BABY,NONE,
HR51020,Baby Formula,1,2,0,0,0,0,7,4/22/2019,4/22/2019,11/2/2010,0,FOOD,BABY,NONE,
HR51055,Baby Food Set,3,6,0,0,0,0,0,3/29/2019,3/29/2019,11/2/2010,0,FOOD,BABY,NONE,
HR52008,Cod Liver Oil,1.5,3,0,0,0,0,0,4/15/2019,4/15/2019,10/4/2012,0.25,FOOD,CONDIMENTS,NONE,
HR52012,Brioschi,1.5,3,0,0,0,0,12,1/18/2019,1/18/2019,1/22/2014,0.25,FOOD,MISC,NONE,
HR54001,Hellmann's Mayonnaise,1.5,3,0,0,0,0,0,4/1/2019,4/1/2019,1/31/2012,0.25,FOOD,CONDIMENTS,NONE,
HR54002,Best Foods Mayonnaise,1.5,3,0,0,0,0,0,4/30/2019,4/30/2019,10/4/2012,0.25,FOOD,CONDIMENTS,NONE,
HR54005,Brie Package,0.5,1,0,0,0,0,0,4/3/2019,4/3/2019,12/23/2009,0,FOOD,MISC,NONE,
HR54017,Soy Sauce,1.5,3,0,0,0,0,0,4/30/2019,4/30/2019,3/1/2013,0.25,FOOD,CONDIMENTS,NONE,
HR54018,Currant Jelly,1.5,3,0,0,0,0,1,4/30/2019,4/30/2019,5/29/2013,0.25,FOOD,CONDIMENTS,NONE,
HR54019,Raspberry Preserves,1.5,3,0,0,0,0,2,11/2/2018,11/2/2018,2/6/2013,0.25,FOOD,CONDIMENTS,NONE,
HR54020,Strawberry Jam,1.5,3,0,0,0,0,5,1/14/2019,1/14/2019,5/16/2012,0.25,FOOD,CONDIMENTS,NONE,
