SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
HR54124,Chocolate Milk-1 Quart,1,2,0,0,0,0,0,4/30/2019,4/30/2019,11/25/2014,0,BEVERAGES,MISC,NONE,
HR54125,Chocolate Milk -1/2 Gal,1.25,2.5,0,0,0,0,5,1/11/2019,1/11/2019,5/29/2013,0.25,BEVERAGES,MISC,NONE,
HR54213,Grape Juice,1.5,3,0,0,0,0,3,6/14/2018,6/14/2018,10/4/2012,0.25,BEVERAGES,MISC,NONE,
HR54218,Donut Mug Of Coffee - Filled,1.5,3,0,0,0,0,3,5/31/2018,5/31/2018,12/23/2009,0,BEVERAGES,MISC,NONE,
HR54219,Donut Take Out Cup-Filled,1.5,3,0,0,0,0,4,3/11/2019,3/11/2019,3/1/2013,0.25,BEVERAGES,MISC,NONE,
HR54243,Hot Cocoa Mix,1,2,0,0,0,0,3,11/3/2018,11/3/2018,12/23/2009,0,BEVERAGES,MISC,NONE,
HR54263,"Italian Grouping - Napoli, Coffee, Wine",4.5,9,0,0,0,0,4,3/14/2019,3/14/2019,2/15/2012,0,BEVERAGES,ALCOHOL,NONE,
HR55069,Cranberry Juice Cocktail,1.5,3,0,0,0,0,6,5/31/2018,5/31/2018,3/3/2012,0.25,BEVERAGES,MISC,NONE,
HR57105,Blackhawk Ginger Ale,1.5,3,0,0,0,0,0,4/30/2019,4/30/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR57109,Stock Coffee,1.25,2.5,0,0,0,0,2,2/11/2019,2/11/2019,2/3/2015,0,BEVERAGES,MISC,NONE,
HR57110,Poehler King Coffee,1.25,2.5,0,0,0,0,1,4/22/2019,4/22/2019,5/21/2016,-0.25,BEVERAGES,MISC,NONE,
HR57111,Country Club Coffee,1.25,2.5,0,0,0,0,5,4/1/2019,4/1/2019,9/17/2014,0.25,BEVERAGES,MISC,NONE,
HR57112,Booth Bay Medicinal Spring Water,1.5,3,0,0,0,0,3,6/14/2018,6/14/2018,7/12/2013,0.25,BEVERAGES,MISC,NONE,
HR57115,Dads Root Beer,1.5,3,0,0,0,0,0,4/1/2019,4/1/2019,7/6/2011,0.25,BEVERAGES,SODA,NONE,
