SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
IM65269,"Cutting Board, Dark and Light Wood",1.5,2.99,0,0,0,0,250,2/2/2017,2/2/2017,2/2/2017,2.5,ACCESSORIES,,,7.32E+11
IM65270,"Whisk with Bowl and Eggs, 4pc",1.3,2.59,0,0,0,0,162,4/1/2019,4/1/2019,9/11/2018,-0.15,ACCESSORIES,KITCHEN,NONE,7.32E+11
IM65271,Eye Test Kit,0.65,1.29,0,0,0,0,250,11/23/2016,6/22/2016,12/10/2011,0.02,ACCESSORIES,MISC,NONE,7.32E+11
IM65276,Wreath,1.1,2.19,0,0,0,0,213,4/30/2019,4/30/2019,4/20/2013,0.05,ACCESSORIES,CHRISTMAS,NONE,7.32E+11
IM65277,"Iron with Fabric, 2pc",0.95,1.9,0,0,0,0,250,11/23/2016,10/21/2015,10/21/2015,-0.15,ACCESSORIES,LAUNDRY,NONE,7.32E+11
IM65279,Artist Palette Set,2.5,4.99,0,0,0,0,132,4/30/2019,4/30/2019,2/2/2017,4,ACCESSORIES,,,7.32E+11
IM65280,Gingerbread Man Cookies on a sheet,1.75,3.49,0,0,0,0,250,8/9/2018,7/24/2018,8/9/2018,-0.3,ACCESSORIES,,,7.32E+11
IM65281,Snowman Cookies on a Sheet,1.75,3.49,0,0,0,0,250,8/9/2018,7/24/2018,8/9/2018,-0.3,ACCESSORIES,,,7.32E+11
IM65282,Snowflake Cookies on a sheet,1.45,2.89,0,0,0,0,213,3/29/2019,3/29/2019,2/2/2017,-0.2,ACCESSORIES,,,7.32E+11
IM65286,"Baby Set, 5pc",1.05,2.09,0,0,0,0,145,4/30/2019,4/30/2019,12/10/2011,0.05,ACCESSORIES,BABY,NONE,7.32E+11
IM65289,"Soap Bucket with Scrub Brush, Cleaner & Sponge",1.75,3.49,0,0,0,0,202,4/30/2019,4/30/2019,4/30/2019,0.25,ACCESSORIES,CLEANING,NONE,7.32E+11
IM65290,".Pitcher & Bowl, White/Blue, 2pc",1.6,3.19,0,0,0,0,191,3/25/2019,3/25/2019,12/10/2011,0.02,ACCESSORIES,PITCHERS,NONE,7.32E+11
